FaixaInicio;FaixaFinal;Intervalo;Percurso;TempTerm;Frota;Linha;Dia;Sentido;Oso;LinhaOso
0500;0600;30;81;5;2;0201;Util;1;;
0625;0650;25;96;5;4;0201;Util;1;;
0720;0940;35;104;5;4;0201;Util;1;;
1020;1420;40;105;5;4;0201;Util;1;;
1455;1605;35;101;5;3;0201;Util;1;;
1635;1735;30;99;5;3;0201;Util;1;;
1810;1845;35;84;5;3;0201;Util;1;;
1925;2015;50;72;5;3;0201;Util;1;;
2110;2110;0;64;5;2;0201;Util;1;;
