FaixaInicio;FaixaFinal;Intervalo;Percurso;TempTerm;Frota;Linha;Dia;Sentido;Oso;LinhaOso
;;;;;;;;;453500;170300
;;;;;;;;;453501;170301
;;;;;;;;;463100;170400
;;;;;;;;;455300;170500
;;;;;;;;;455400;170600
;;;;;;;;;455401;170601
;;;;;;;;;389500;170900
;;;;;;;;;453800;171300
;;;;;;;;;453801;171301
;;;;;;;;;463200;171400
;;;;;;;;;463201;171401
;;;;;;;;;463202;171402
;;;;;;;;;468700;171500
;;;;;;;;;468702;171502
;;;;;;;;;468703;171503
;;;;;;;;;454100;171600
;;;;;;;;;454101;171601
;;;;;;;;;454102;171602
;;;;;;;;;455700;171900
;;;;;;;;;455701;171901
;;;;;;;;;467400;172000
;;;;;;;;;468800;172100
;;;;;;;;;468801;172101
;;;;;;;;;468802;172102
;;;;;;;;;468803;172103
;;;;;;;;;921300;189900
;;;;;;;;;423400;011700
;;;;;;;;;363400;012500
;;;;;;;;;479500;015200
;;;;;;;;;479501;015201
;;;;;;;;;470900;020100
;;;;;;;;;470901;020101
;;;;;;;;;471000;020300
;;;;;;;;;471001;020301
;;;;;;;;;471002;020302
;;;;;;;;;471100;020500
;;;;;;;;;471101;020501
;;;;;;;;;460100;020800
;;;;;;;;;471200;021300
;;;;;;;;;471201;021301
;;;;;;;;;474300;021400
;;;;;;;;;474301;021401
;;;;;;;;;474302;021402
;;;;;;;;;460300;021600
;;;;;;;;;460400;021700
;;;;;;;;;460500;021900
;;;;;;;;;460600;022100
;;;;;;;;;403300;022400
;;;;;;;;;403301;022401
;;;;;;;;;403302;022402
;;;;;;;;;364300;023700
;;;;;;;;;364301;023701
;;;;;;;;;364302;023702
;;;;;;;;;364400;023800
;;;;;;;;;364401;023801
;;;;;;;;;364402;023802
;;;;;;;;;471400;030200
;;;;;;;;;471500;031300
;;;;;;;;;471503;031303
;;;;;;;;;471600;032100
;;;;;;;;;471602;032102
;;;;;;;;;441900;032500
;;;;;;;;;340600;034300
;;;;;;;;;460700;034700
;;;;;;;;;460701;034701
;;;;;;;;;460702;034702
;;;;;;;;;460800;034900
;;;;;;;;;460801;034901
;;;;;;;;;366900;035500
;;;;;;;;;366901;035501
;;;;;;;;;424300;042000
;;;;;;;;;424301;042001
;;;;;;;;;424302;042002
;;;;;;;;;400700;050300
;;;;;;;;;400701;050301
;;;;;;;;;479600;053000
;;;;;;;;;479601;053001
;;;;;;;;;479602;053002
;;;;;;;;;479603;053003
;;;;;;;;;479604;053004
;;;;;;;;;479700;071300
;;;;;;;;;479701;071301
;;;;;;;;;479702;071302
;;;;;;;;;479703;071303
;;;;;;;;;479800;071500
;;;;;;;;;479801;071501
;;;;;;;;;479802;071502
;;;;;;;;;444400;071800
